elapsed_s,gpu_memory_mib,wsl_rss_kib,wsl_rss_source,wsl_swap_kib,minor_faults,major_faults,fault_processes,pcie_rx_mib_s,pcie_tx_mib_s
151.303,31121.0,81261632,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
152.343,31116.0,81259072,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
153.378,31116.0,81257220,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
154.417,31116.0,81256048,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
155.453,31116.0,81245508,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
156.491,31116.0,81247544,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
157.526,31116.0,81245032,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
158.559,31116.0,81379368,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
159.593,31121.0,81685844,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
160.638,31121.0,81835668,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
161.673,31121.0,81975332,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
162.711,31121.0,82241224,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
163.75,31121.0,82286532,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
164.792,31115.0,82459736,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
165.825,31115.0,82653928,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
166.868,31116.0,82922020,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
167.901,31115.0,82915348,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
168.938,31115.0,83184412,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
169.985,31115.0,83261872,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
171.023,31116.0,83624864,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
172.058,31116.0,83622848,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
173.095,31115.0,83877532,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
174.135,31115.0,84080780,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
175.17,31115.0,84121812,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
176.207,31115.0,84283060,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
177.243,31115.0,84544332,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
178.28,31115.0,84728660,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
179.319,31115.0,84796740,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
180.352,31115.0,85058280,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
181.39,31115.0,85055592,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
182.438,31115.0,85086916,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
183.471,31121.0,84921832,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
184.519,31121.0,77227868,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
185.552,31217.0,76815828,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
186.591,31217.0,76947828,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
187.634,31286.0,76779300,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
188.667,31134.0,76748432,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
189.698,31134.0,76729700,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
190.732,31134.0,77179676,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
191.771,31382.0,77268480,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
192.823,31371.0,77969104,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
193.896,31371.0,77761076,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
194.93,31372.0,78374924,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
195.965,31433.0,77869576,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
196.998,31538.0,77666216,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
198.032,31589.0,77612180,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
199.065,31280.0,77483500,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
200.098,31296.0,77525840,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
201.129,31493.0,77566588,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
202.163,31493.0,77541808,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
203.197,31494.0,77575396,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
204.23,31493.0,77558188,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
205.268,31493.0,77517800,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
206.307,31493.0,77490876,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
207.37,30306.0,74978796,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
208.433,30306.0,75020808,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
209.466,30306.0,75214220,WSL MemTotal-MemAvailable fallback,0,18989928,1160,4,,
210.498,30360.0,75645132,WSL MemTotal-MemAvailable fallback,0,19168195,1200,4,,
211.536,30360.0,75954084,WSL MemTotal-MemAvailable fallback,0,19247432,1202,9,,
212.568,30360.0,76279892,WSL MemTotal-MemAvailable fallback,0,19252639,1251,9,,
213.601,30360.0,76192524,WSL MemTotal-MemAvailable fallback,0,19224990,1207,10,,
214.632,30422.0,76359672,WSL MemTotal-MemAvailable fallback,0,19202074,1207,4,,
215.665,30426.0,76426504,WSL MemTotal-MemAvailable fallback,0,19222081,1208,4,,
216.696,30426.0,76418568,WSL MemTotal-MemAvailable fallback,0,19222889,1208,4,,
217.728,30446.0,76420228,WSL MemTotal-MemAvailable fallback,0,19224319,1209,4,,
218.772,30447.0,76378452,WSL MemTotal-MemAvailable fallback,0,19224321,1209,4,,
219.803,30476.0,76454632,WSL MemTotal-MemAvailable fallback,0,19241229,1209,4,,
220.835,30476.0,76385092,WSL MemTotal-MemAvailable fallback,0,19241229,1209,4,,
221.867,30476.0,76362044,WSL MemTotal-MemAvailable fallback,0,19241229,1209,4,,
222.9,30476.0,76330640,WSL MemTotal-MemAvailable fallback,0,19241229,1209,4,,
223.931,30476.0,76308364,WSL MemTotal-MemAvailable fallback,0,19241229,1209,4,,
224.964,30470.0,76251300,WSL MemTotal-MemAvailable fallback,0,19241229,1209,4,,
225.995,30470.0,76255024,WSL MemTotal-MemAvailable fallback,0,19241229,1209,4,,
227.029,30471.0,76231080,WSL MemTotal-MemAvailable fallback,0,19241229,1209,4,,
228.064,30473.0,76189588,WSL MemTotal-MemAvailable fallback,0,19241240,1209,4,,
229.101,30472.0,76145252,WSL MemTotal-MemAvailable fallback,0,19241240,1209,4,,
230.136,30472.0,76145376,WSL MemTotal-MemAvailable fallback,0,19241240,1209,4,,
231.172,30478.0,76750252,WSL MemTotal-MemAvailable fallback,0,19432135,1209,19,,
232.205,30478.0,77421128,WSL MemTotal-MemAvailable fallback,0,19423569,1209,19,,
233.24,30478.0,77711884,WSL MemTotal-MemAvailable fallback,0,19469026,1209,18,,
234.276,30478.0,78336208,WSL MemTotal-MemAvailable fallback,0,19644992,1209,18,,
235.31,30478.0,78920792,WSL MemTotal-MemAvailable fallback,0,19830531,1209,18,,
236.348,30478.0,77907000,WSL MemTotal-MemAvailable fallback,0,19468823,1209,18,,
237.384,30478.0,78834940,WSL MemTotal-MemAvailable fallback,0,19784195,1209,18,,
238.419,30478.0,78815156,WSL MemTotal-MemAvailable fallback,0,19855556,1209,18,,
239.454,30478.0,78270408,WSL MemTotal-MemAvailable fallback,0,19779131,1209,13,,
240.489,30472.0,78188052,WSL MemTotal-MemAvailable fallback,0,19796567,1209,13,,
241.523,30472.0,78108180,WSL MemTotal-MemAvailable fallback,0,19812072,1209,13,,
242.57,30472.0,78012484,WSL MemTotal-MemAvailable fallback,0,19828185,1209,13,,
243.622,30472.0,77928748,WSL MemTotal-MemAvailable fallback,0,19828830,1209,13,,
244.674,30472.0,77747268,WSL MemTotal-MemAvailable fallback,0,19622210,1209,13,,
245.744,30472.0,77669928,WSL MemTotal-MemAvailable fallback,0,19650232,1209,13,,
246.801,30472.0,77605380,WSL MemTotal-MemAvailable fallback,0,19662714,1209,13,,
247.868,30473.0,77504056,WSL MemTotal-MemAvailable fallback,0,19663556,1209,13,,
248.927,30473.0,77468156,WSL MemTotal-MemAvailable fallback,0,19669529,1209,13,,
249.987,30472.0,77488892,WSL MemTotal-MemAvailable fallback,0,19659812,1209,14,,
251.033,30472.0,77588748,WSL MemTotal-MemAvailable fallback,0,19690625,1209,14,,
252.075,30472.0,77625652,WSL MemTotal-MemAvailable fallback,0,19713459,1209,14,,
253.121,30472.0,77528408,WSL MemTotal-MemAvailable fallback,0,19604964,1209,9,,
254.18,30479.0,77439096,WSL MemTotal-MemAvailable fallback,0,19605907,1209,9,,
255.215,30479.0,77360760,WSL MemTotal-MemAvailable fallback,0,19606876,1209,9,,
256.264,30479.0,77335516,WSL MemTotal-MemAvailable fallback,0,19614596,1209,9,,
257.301,30479.0,77262976,WSL MemTotal-MemAvailable fallback,0,19614611,1209,9,,
258.344,30479.0,77215868,WSL MemTotal-MemAvailable fallback,0,19614745,1209,9,,
259.389,30479.0,77176136,WSL MemTotal-MemAvailable fallback,0,19619186,1209,9,,
260.428,30478.0,77173592,WSL MemTotal-MemAvailable fallback,0,19631586,1209,9,,
261.469,30478.0,76808160,WSL MemTotal-MemAvailable fallback,0,19341416,1209,9,,
262.508,30478.0,76809248,WSL MemTotal-MemAvailable fallback,0,19361926,1209,9,,
263.544,30478.0,76782968,WSL MemTotal-MemAvailable fallback,0,19375923,1209,9,,
264.582,30478.0,76711028,WSL MemTotal-MemAvailable fallback,0,19378391,1209,9,,
265.616,30472.0,76689708,WSL MemTotal-MemAvailable fallback,0,19381434,1209,9,,
266.653,30478.0,76658468,WSL MemTotal-MemAvailable fallback,0,19393539,1209,9,,
267.687,30478.0,76646888,WSL MemTotal-MemAvailable fallback,0,19394181,1209,9,,
268.725,30478.0,76592048,WSL MemTotal-MemAvailable fallback,0,19395426,1209,9,,
269.758,30478.0,76602652,WSL MemTotal-MemAvailable fallback,0,19408754,1209,9,,
270.797,30478.0,76439084,WSL MemTotal-MemAvailable fallback,0,19334361,1209,10,,
271.831,30472.0,76615424,WSL MemTotal-MemAvailable fallback,0,19377534,1209,10,,
272.864,30472.0,76656356,WSL MemTotal-MemAvailable fallback,0,19412176,1209,10,,
273.897,30472.0,76668320,WSL MemTotal-MemAvailable fallback,0,19423254,1209,10,,
274.931,30473.0,76655704,WSL MemTotal-MemAvailable fallback,0,19429872,1209,10,,
275.967,30472.0,76142080,WSL MemTotal-MemAvailable fallback,0,19275131,1209,9,,
277.0,30480.0,76145016,WSL MemTotal-MemAvailable fallback,0,19284860,1213,4,,
